name,state,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,Shape_Length,Shape_Area,Incidents_9600,Incidents_0105,Incidents_0610,Incidents_1115,Incidents_1620
Longleng,Nagaland,309777,204543,133909,86756,57349,36870,213074.2644,734886830.8,0,0,1,0,0
Lower Dibang Valley,Arunachal Pradesh,47874,49922,51519,53381,54409,54366,475800.7473,4825050623,0,0,0,0,0
Lower Siang,Arunachal Pradesh,9235,10093,10879,11785,12546,12925,343114.5368,2325812647,0,0,0,0,0
Lower Subansiri,Arunachal Pradesh,28862,36371,45174,55465,68074,80310,241579.4551,1919306432,0,0,0,0,0
Lunglei,Mizoram,98492,108532,119513,130075,140083,147636,450216.185,4278903504,0,0,0,0,0
Majuli,Assam,116419,127185,139621,149267,159681,166891,298106.919,1556554668,1,0,1,0,0
Mamit,Mizoram,48814,57025,66612,79603,94086,108526,456917.0504,3659235992,0,0,0,0,0
Marigaon,Assam,613575,695867,780999,867993,955199,1033262,257516.4844,1943420329,1,1,0,0,0
Mokokchung,Nagaland,298683,273092,250064,229040,206096,181615,349943.9599,2010108988,1,1,5,1,0
Mon,Nagaland,273857,274332,272089,266989,258168,245190,342163.3839,2742382920,1,6,14,7,7
Nagaon,Assam,1256987,1418367,1583286,1753059,1918446,2062791,679747.8944,3203922657,11,0,2,0,1
Nalbari,Assam,691098,748385,804093,852829,893122,918674,265384.3002,1315946003,27,53,8,0,0
Namsai,Arunachal Pradesh,72779,79928,86433,93148,99583,104269,204065.5477,1746308520,0,0,0,1,2
Noklak,Nagaland,27371,28610,29603,30162,30550,29560,136599.93,506741130.3,0,1,0,1,0
Noney,Manipur,23554,27125,30797,34363,38370,42213,216925.7731,1372377263,2,0,3,0,2
North District,Sikkim,35038,36833,38604,40459,41510,41297,399343.2796,5456171083,0,0,0,0,0
North Garo Hills,Meghalaya,64232,83495,104203,104496,114900,122580,307903.2071,1180514133,0,0,3,6,2
North Tripura,Tripura,242377,268075,294073,317635,340787,358606,344853.6291,1623761214,3,1,0,0,0
Pakke Kessang,Arunachal Pradesh,5286,6379,7809,9872,12153,14185,335396.2308,2418287276,0,0,0,0,0
Papum Pare,Arunachal Pradesh,72215,88811,109117,131398,156491,182947,492678.0409,4379399810,0,0,0,0,0
Peren,Nagaland,91567,94118,96782,97778,99885,99826,278509.4057,2121998308,0,3,8,4,0
Phek,Nagaland,128217,136516,144737,151493,156616,158976,328705.7022,2327872779,0,0,7,4,0
Pherzawl,Manipur,32394,36053,39773,44059,47759,51131,356909.596,2737772476,2,1,3,3,0
Ri Bhoi,Meghalaya,135582,163566,194493,225199,258900,288583,478920.2049,3005586730,0,0,0,0,0
Saiha,Mizoram,38154,42491,47042,52192,56785,60956,313570.7675,1796698290,0,0,0,0,0
Saitual,Mizoram,25707,28739,31225,32953,34296,35240,247297.4883,1284006066,0,0,0,0,0
Senapati,Manipur,102688,135169,175020,223456,284111,355615,271387.2303,2146872677,3,0,0,3,0
Sepahijala,Tripura,321121,348754,377404,409502,439930,457800,297727.1573,1236119252,8,6,0,0,0
Serchhip,Mizoram,44807,49833,55051,60261,65210,69067,327915.9164,1671713772,0,0,0,0,0
Shi Yomi,Arunachal Pradesh,11321,11980,12575,12866,12934,12653,282169.0336,3441587391,0,0,0,0,0
Siang,Arunachal Pradesh,31007,33165,35052,36502,37648,38177,436997.5365,4400375826,0,0,0,0,0
Sivasagar,Assam,643772,683612,719594,748556,768310,774200,310208.9216,1988724995,1,7,5,0,0
Sonitpur,Assam,916348,1004303,1089751,1175457,1253122,1314355,345354.4777,4336382848,5,12,37,21,3
South District,Sikkim,113392,122017,130555,136523,140869,142931,188813.5998,933517038.4,0,0,0,0,0
South Garo Hills,Meghalaya,95363,107635,119825,135387,150262,160052,301163.2773,2319671581,0,1,1,9,5
South Salmara Mancachar,Assam,374649,432637,493173,520062,546570,570076,276856.2075,847509726.9,0,0,0,0,0
South Tripura,Tripura,297130,324546,351338,372458,391076,402313,410915.4833,1735929662,0,0,0,0,0
South West Garo Hills,Meghalaya,37247,42774,51184,69832,90929,105356,150197.1602,863442749.2,0,0,1,3,0
South West Khasi Hills,Meghalaya,72742,82908,94494,102253,108584,113052,324709.2702,1576456381,0,0,0,0,0
Tamenglong,Manipur,63596,73581,85589,96140,107257,117805,404833.0232,3722287816,13,21,129,10,0
Tawang,Arunachal Pradesh,23529,27327,31195,35085,39205,53453,396992.6317,3103622800,0,0,0,0,0
Tengnoupal,Manipur,36316,41124,45819,51452,56759,61542,228877.1944,1374974019,1,5,48,8,4
Thoubal,Manipur,244833,264483,282042,303811,324685,341461,161548.9139,454432686.7,1,13,26,2,0
Tinsukia,Assam,865982,948492,1030211,1105836,1175000,1227673,482705.8509,4867714850,5,42,66,5,7
Tirap,Arunachal Pradesh,48571,53715,60662,64554,67301,68978,208607.2296,1387280487,0,1,0,4,8
Tuensang,Nagaland,142678,149236,155296,159621,161533,160985,311915.72,2141394965,0,3,2,2,0
Udalguri,Assam,647419,691852,731239,767538,797705,814104,469160.7554,2490066669,23,32,20,7,4
